index,TotalSize,Resident,Shared,App_TotalSize,App_Resident,App_Shared,AnonHugePages,Anonymous,KernelPageSize,Locked,MMUPageSize,Private_Clean,Private_Dirty,Pss,Referenced,Rss,Shared_Clean,Shared_Dirty,Swap,SwapPss,App_AnonHugePages,App_Anonymous,App_KernelPageSize,App_Locked,App_MMUPageSize,App_Private_Clean,App_Private_Dirty,App_Pss,App_Referenced,App_Rss,App_Shared_Clean,App_Shared_Dirty,App_Swap,App_SwapPss,Active,AnonPages,Bounce,Buffers,Cached,CommitLimit,Committed_AS,Dirty,Inactive,KernelStack,Mapped,MemFree,MemTotal,Mlocked,NFS_Unstable,PageTables,SReclaimable,SUnreclaim,Shmem,Slab,SwapCached,SwapFree,SwapTotal,Unevictable,VmallocChunk,VmallocTotal,VmallocUsed,Writeback,WritebackTmp
42,561211,17783,17129,313568,22828,19045,0,4244,5004,0,5004,3364,1340,8038,49000,51796,46160,932,28032,18007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,297348,0,67316,1261888,3478960,98041684,428,-1,29040,401656,76656,2763624,0,0,45876,46696,82800,88,129496,109076,1296140,2097148,12024,247561408,251658176,255280,0,0
43,561211,17804,17129,313568,22828,19045,0,4244,5004,0,5004,3360,1344,7987,48848,51796,46160,932,28036,18003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,340900,0,67616,1261828,3478960,97588964,708,-1,29424,426376,52576,2763624,0,0,47180,46600,82616,116,129216,104884,1319684,2097148,12024,247561408,251658176,256300,0,0
44,561211,17804,17129,313568,22828,19045,0,4248,5004,0,5004,3356,1348,7984,48860,51800,46164,932,28036,18003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,348328,0,67844,1261264,3478960,99819880,184,-1,29264,425584,47556,2763624,0,0,47028,46600,82516,88,129116,106040,1320860,2097148,12024,247561408,251658176,256300,0,0
45,561211,17804,17129,313568,22828,19045,0,4256,5004,0,5004,3348,1356,7948,48932,51808,46172,932,28032,17999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,351292,0,68080,1262768,3478960,99131820,640,-1,29376,427156,49688,2763624,0,0,46860,46600,82528,88,129128,105412,1321436,2097148,12024,247561408,251658176,255280,0,0
46,561211,17804,17129,313568,22828,19045,0,4260,5004,0,5004,3352,1360,7983,48928,51812,46168,932,28028,17996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,352224,0,68444,1263144,3478960,95693764,744,-1,29440,427972,48392,2763624,0,0,46552,46600,82508,88,129108,106952,1323856,2097148,12024,247561408,251658176,254260,0,0
47,561211,17800,17129,313568,22828,19045,0,4236,5004,0,5004,3336,1336,7935,48536,51788,46184,932,28052,18020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,369468,0,68724,1266388,3478960,97809040,332,-1,30048,461820,48204,2763624,0,0,48500,46616,82468,2144,129084,106364,1310076,2097148,12024,247561408,251658176,258032,0,0
48,561211,17794,17129,313568,22828,19045,0,4212,5004,0,5004,3336,1312,7910,48656,51764,46184,932,28080,18048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,349652,0,68848,1276940,3478960,97835812,1036,-1,31120,478424,36244,2763624,0,0,48776,46616,82428,12096,129044,103960,1281372,2097148,12024,247561408,251658176,258652,0,0
49,561211,17785,17123,313568,22828,19045,0,4212,5004,0,5004,3320,1308,7889,48628,51740,46180,932,28084,18048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,323916,0,67584,1242472,3478960,97848492,424,-1,31216,477828,65900,2763624,0,0,49140,46616,82464,4072,129080,103376,1248420,2097148,12024,247561408,251658176,271708,0,0
50,561211,17781,17123,313568,22828,19045,0,4188,5004,0,5004,3316,1304,7881,48568,51716,46164,932,28108,18056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,338160,0,67900,1243468,3478960,97947568,1124,-1,31456,484232,50608,2763624,0,0,49392,46616,82564,4120,129180,107896,1247172,2097148,12024,247561408,251658176,271708,0,0
51,561211,17779,17123,313568,22828,19045,0,4192,5004,0,5004,3316,1308,7885,48632,51720,46164,932,28108,18056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,344548,0,67888,1225052,3478960,98040016,1296,-1,31392,484140,63812,2763624,0,0,49248,46616,82676,4060,129292,108208,1251328,2097148,12024,247561408,251658176,259936,0,0
